epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.127,0.92232,4.18468,1.24084,0,0,0,0,1.16164,3.91646,1.54781,2e-05,2e-05,2e-05
2,1.799,0.86183,4.06034,1.15293,0,0,0,0,0.86148,3.85874,1.30863,4.9505e-05,4.9505e-05,4.9505e-05
3,2.454,0.91912,3.95971,1.10811,0.00089,0.04167,0.00067,0.0002,0.94702,3.85414,1.30991,7.8416e-05,7.8416e-05,7.8416e-05
4,3.098,0.82939,3.69403,1.04142,0.00596,0.23056,0.00655,0.00398,0.90685,3.82225,1.24681,0.000106733,0.000106733,0.000106733
5,3.697,0.87496,3.62333,1.05145,0.00958,0.33333,0.01673,0.01173,0.82213,3.76203,1.1615,0.000134456,0.000134456,0.000134456
6,4.336,0.79149,3.49175,0.9595,0.02476,0.80278,0.12294,0.08953,0.61189,3.54681,0.96341,0.000161585,0.000161585,0.000161585
7,4.969,0.72083,3.23223,0.9289,0.0317,1,0.20733,0.16264,0.59407,3.36985,0.88858,0.00018812,0.00018812,0.00018812
8,5.623,0.78301,3.1341,0.95711,0.03103,1,0.22155,0.181,0.63103,3.21235,0.86398,0.000214061,0.000214061,0.000214061
9,6.248,0.7164,3.04455,0.92523,0.03106,1,0.2177,0.17585,0.70709,3.11036,0.86307,0.000239408,0.000239408,0.000239408
10,6.863,0.71289,2.8872,0.93742,0.03127,1,0.22355,0.1828,0.74743,2.96744,0.86983,0.000264161,0.000264161,0.000264161
11,7.471,0.71983,2.73822,0.92845,0.03106,1,0.26095,0.22125,0.71051,2.8378,0.87584,0.00028832,0.00028832,0.00028832
12,8.099,0.69302,2.69435,0.9478,0.03144,1,0.25877,0.2198,0.68999,2.71262,0.88021,0.000311885,0.000311885,0.000311885
13,8.713,0.72504,2.67867,0.94742,0.03195,1,0.29839,0.24568,0.69373,2.60363,0.8844,0.000334856,0.000334856,0.000334856
14,9.32303,0.6491,2.48767,0.90948,0.15566,0.875,0.34436,0.28749,0.6664,2.47818,0.87009,0.000357233,0.000357233,0.000357233
15,9.90103,0.67965,2.39598,0.93245,0.15566,0.875,0.34436,0.28749,0.6664,2.47818,0.87009,0.000379016,0.000379016,0.000379016
16,10.505,0.71327,2.31328,0.98661,0.5908,0.28889,0.38727,0.33059,0.59888,2.36439,0.84839,0.000400205,0.000400205,0.000400205
17,11.106,0.74612,2.326,0.96237,0.62773,0.40556,0.44894,0.38644,0.59046,2.30691,0.84319,0.0004208,0.0004208,0.0004208
