epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.50711,0.91195,4.25517,1.23941,0.00112,0.03571,0.00093,0.00028,1.17253,3.91018,1.54995,1.818e-05,1.818e-05,1.818e-05
2,2.29196,0.85968,4.15286,1.16063,0.00091,0.03571,0.00132,0.0004,0.86555,3.85079,1.30975,4.5e-05,4.5e-05,4.5e-05
3,3.00995,0.90308,4.07748,1.11515,0.00085,0.03571,0.00127,0.00051,0.86657,3.85171,1.26275,7.12801e-05,7.12801e-05,7.12801e-05
4,3.68989,0.80946,3.83326,1.04288,0.00572,0.15714,0.00502,0.00237,0.82892,3.83445,1.18655,9.70203e-05,9.70203e-05,9.70203e-05
5,4.35608,0.85642,3.79026,1.0508,0.01138,0.32619,0.01888,0.00916,0.7351,3.7997,1.1093,0.000122221,0.000122221,0.000122221
6,5.04271,0.77033,3.66441,0.95936,0.02263,0.62857,0.09197,0.076,0.53576,3.61686,0.94707,0.000146881,0.000146881,0.000146881
7,5.71484,0.6889,3.41439,0.93338,0.02892,0.82857,0.21657,0.16769,0.51586,3.47326,0.89675,0.000171001,0.000171001,0.000171001
8,6.37512,0.72594,3.32055,0.94871,0.03247,0.92857,0.2278,0.19829,0.58695,3.35013,0.88273,0.000194581,0.000194581,0.000194581
9,7.02905,0.69501,3.25166,0.93825,0.03337,0.95238,0.26997,0.2271,0.66573,3.28337,0.88029,0.000217622,0.000217622,0.000217622
10,7.69605,0.71354,3.07064,0.94542,0.03455,1,0.27464,0.21909,0.71255,3.15342,0.87228,0.000240122,0.000240122,0.000240122
11,8.33661,0.70614,2.9011,0.93625,0.035,1,0.30328,0.25676,0.6562,3.02969,0.84951,0.000262083,0.000262083,0.000262083
12,9.00436,0.67705,2.81092,0.97046,0.03497,1,0.28767,0.25039,0.59354,2.92282,0.83777,0.000283503,0.000283503,0.000283503
13,9.6461,0.70736,2.73142,0.95642,0.03532,1,0.27683,0.24303,0.58625,2.82395,0.84041,0.000304384,0.000304384,0.000304384
14,10.2976,0.6473,2.62454,0.92429,0.03604,1,0.29871,0.26295,0.59002,2.711,0.84434,0.000324725,0.000324725,0.000324725
15,10.9215,0.67028,2.51955,0.94709,0.03604,1,0.29871,0.26295,0.59002,2.711,0.84434,0.000344526,0.000344526,0.000344526
16,11.5897,0.72462,2.39136,1.02487,0.48296,0.25714,0.33357,0.29737,0.58793,2.58214,0.8596,0.000363786,0.000363786,0.000363786
17,12.248,0.73132,2.36391,0.97796,0.34467,0.2,0.36125,0.32566,0.56062,2.43174,0.87255,0.000382507,0.000382507,0.000382507
18,12.8821,0.67948,2.2587,0.97657,0.34467,0.2,0.36125,0.32566,0.56062,2.43174,0.87255,0.000400688,0.000400688,0.000400688
19,13.5867,0.76331,2.37381,0.98598,0.40039,0.57905,0.40557,0.34914,0.65407,2.25552,0.95179,0.000418329,0.000418329,0.000418329
20,14.2269,0.68312,2.24294,0.98387,0.4443,0.66429,0.46978,0.39526,0.72347,2.0615,0.99403,0.00043543,0.00043543,0.00043543
21,14.853,0.69105,2.15672,0.97847,0.4443,0.66429,0.46978,0.39526,0.72347,2.0615,0.99403,0.000451991,0.000451991,0.000451991
